field_domain_id,field_site_id,field_site_name,field_site_type,field_site_subtype,field_colocated_site,field_site_host,field_site_url,field_nonneon_research_allowed,field_access_details,field_neon_field_operations_office,field_latitude,field_longitude,field_geodetic_datum,field_utm_northing,field_utm_easting,field_utm_zone,field_site_county,field_site_state,field_site_country,field_mean_elevation_m,field_minimum_elevation_m,field_maximum_elevation_m,field_mean_annual_temperature_C,field_mean_annual_precipitation_mm,field_dominant_wind_direction,field_mean_canopy_height_m,field_dominant_nlcd_classes,field_domint_plant_species,field_usgs_huc,field_watershed_name,field_watershed_size_km2,field_lake_depth_mean_m,field_lake_depth_max_m,field_tower_height_m,field_usgs_geology_unit,field_megapit_soil_family,field_soil_subgroup,field_avg_number_of_green_days,field_avg_grean_increase_doy,field_avg_green_max_doy,field_avg_green_decrease_doy,field_avg_green_min_doy,field_phenocams,field_number_tower_levels,neon_url
D10,ARIK,Arikaree River NEON,Core Aquatic,Wadeable Stream,,The Nature Conservancy,https://www.nature.org/en-us/get-involved/how-to-help/places-we-protect/fox-ranch/,Yes,Reseachers should coordinate with the site manager.,Domain 10/13 Support Facility,39.758206,-102.44715,WGS84,4404042.549,718694.3752,13N,Yuma,CO,USA,1179,,,10.4,452,,,Emergent Herbaceous Wetlands|Grassland/Herbaceous|Woody Wetlands,,[h10250001](https://water.usgs.gov/lookup/getwatershed?10250001),Lower Sappa,2631.8,,,,COTo;0|COQe;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D10.ARIK.DP1.20002),,https://ww.neonscience.org/field-sites/arik
D03,BARC,Lake Barco NEON,Core Aquatic,Lake,OSBS,University of Florida Foundation,https://ordway-swisher.ufl.edu/ResearchUse.aspx,Yes,This area is a very active research community and will required a site research permit.,Domain 03 Support Facility,29.675982,-82.008414,WGS84,3283362.548,402358.9734,17N,Putnam,FL,USA,27,,,20.9,1308,,,Shrub/Scrub,,[h03080103](https://water.usgs.gov/lookup/getwatershed?03080103),Lower St. Johns,31.3,3.3,6.7,,FLPOc;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D03.BARC.DP1.20002),,https://ww.neonscience.org/field-sites/barc
D08,BLWA,Black Warrior River NEON,Gradient Aquatic,Non-wadeable River,DELA,US Army Corps of Engineers|Private,https://www.sam.usace.army.mil/|,Limited / Very Limited,"This area is primarily intended to provide recreational opportunities and is also classified as a hunting area. As such, access is very limited but potentially possible. / Very limited available via private land owner.",Domain 08 Support Facility,32.541529,-87.798151,WGS84,3600743.438,425055.8239,16N,Greene,AL,USA,22,,,17.6,1372,,,Woody Wetlands,,[h03160113](https://water.usgs.gov/lookup/getwatershed?03160113),Lower Black Warrior,16159.4,,,,ALHalt;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D08.BLWA.DP1.20002),,https://ww.neonscience.org/field-sites/blwa
D13,COMO,Como Creek NEON,Core Aquatic,Wadeable Stream,NIWO,US Forest Service,https://cuboulder.qualtrics.com/jfe/form/SV_3O9QymZrswv5U6F,Yes,Reseachers should coordinate with the site manager and submit a site research permit.,Domain 10/13 Support Facility,40.034962,-105.54416,WGS84,4431779.634,453513.6657,13N,Boulder,CO,USA,3021,,,2,841,,,Shrub/Scrub,,[h10190005](https://water.usgs.gov/lookup/getwatershed?10190005),St. Vrain,3.6,,,,COXb;0|COQd;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D13.COMO.DP1.20002),,https://ww.neonscience.org/field-sites/como
D05,CRAM,Crampton Lake NEON,Core Aquatic,Lake,,University of Notre Dame,https://underc.nd.edu/underc-west/research-opportunities/,Yes,"UNDERC encourages research; subject to evaluation based on potential for scientific advancement, impact on the site, and consistency and compatibility with other designated, non-research, uses of the property.",Domain 05 Support Facility,46.209675,-89.473688,WGS84,5120489.547,308836.941,16N,Vilas,WI,USA,509,,,4.3,794,,,Woody Wetlands,,[h04020102](https://water.usgs.gov/lookup/getwatershed?04020102),Ontonagon,0.6,4.6,19,,WIAgn;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D05.CRAM.DP1.20002),,https://ww.neonscience.org/field-sites/cram
D03,FLNT,Flint River NEON,Gradient Aquatic,Non-wadeable River,JERC,"Robert Woodruff Foundation, Inc.",http://www.jonesctr.org/research/,Yes,This area is a very active research community and will required a site research permit.,Domain 03 Support Facility,31.185424,-84.437403,WGS84,3452980.845,744204.4003,16N,Baker,GA,USA,30,,,19.2,1311,,,Mixed Forest,,[h03130008](https://water.usgs.gov/lookup/getwatershed?03130008),Lower Flint,14999.4,,,,GAQal;1,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D03.FLNT.DP1.20002),,https://ww.neonscience.org/field-sites/flnt
D01,HOPB,Lower Hop Brook NEON,Core Aquatic,Wadeable Stream,HARV,Massachusetts DCR Division of Water Supply Protection,https://www.mass.gov/service-details/watershed-permits,Limited,Field site located in the Quabbin Resevoir - Massachusetts DCR Division of Water Supply Protection . This property is very limited to additional research - researchers should take necessary coordinations with the DCR.,Domain 01 Support Facility,42.471941,-72.329526,WGS84,4705615.726,719519.9768,18N,Franklin,MA,USA,203,,,7.9,1368,,,Evergreen Forest|Mixed Forest,,[h01080204](https://water.usgs.gov/lookup/getwatershed?01080204),Chicopee,11.9,,,,MAOps;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D01.HOPB.DP1.20002),,https://ww.neonscience.org/field-sites/hopb
D06,KING,Kings Creek NEON,Core Aquatic,Wadeable Stream,KONA,"The Nature Conservancy, Kansas State University",https://kpbs.konza.k-state.edu/scientist-information/permits.html,Yes,The Nature Conservancy and Konza Prairie Biological Station (KSU) welcomes and encourages research use that fits their mission and is compatible with their abilities as a host. Please plan on at more than two weeks advance notice to request and plan site access.,Domain 06 Support Facility,39.105061,-96.603829,WGS84,4331170.418,707234.5703,14N,Riley,KS,USA,324,,,12.7,860,,,Deciduous Forest,,[h10270101](https://water.usgs.gov/lookup/getwatershed?10270101),Upper Kansas,13,,,,KSPcg;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D06.KING.DP1.20002),,https://ww.neonscience.org/field-sites/king
D07,LECO,LeConte Creek NEON,Gradient Aquatic,Wadeable Stream,GRSM,National Park Service,https://irma.nps.gov/rprs/,Yes,The National Park Service is open to additional research activities taking place in this area. Apply via IRMA Permitting portal.,Domain 07 Support Facility,35.690428,-83.50379,WGS84,3952502.4,273437.4965,17N,Sevier,TN,USA,579,,,13.1,1375,,,Deciduous Forest,,[h06010107](https://water.usgs.gov/lookup/getwatershed?06010107),Lower French Broad,9.1,,,,TNpCAs;15,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D07.LECO.DP1.20002),,https://ww.neonscience.org/field-sites/leco
D02,LEWI,Lewis Run NEON,Gradient Aquatic,Wadeable Stream,BLAN,Casey Tree Farm,https://caseytrees.org/about-us/casey-tree-farm/,Limited,Research on the Casey Tree Farm is limited - coordination required with farm management.,Domain 02 Support Facility,39.095637,-77.983216,WGS84,4331627.279,242002.1375,18N,Clarke,VA,USA,152,,,12.2,976,,,Deciduous Forest,,[h02070007](https://water.usgs.gov/lookup/getwatershed?02070007),Shenandoah,11.9,,,,VACAe;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D02.LEWI.DP1.20002),,https://ww.neonscience.org/field-sites/lewi
D05,LIRO,Little Rock Lake NEON,Gradient Aquatic,Lake,,Wisconsin Department of Natural Resources,https://dnr.wi.gov/Permits/,Yes,The site host has indicated support for additional research.,Domain 05 Support Facility,45.998269,-89.704767,WGS84,290559.717,5097412.448,16N,Vilas,WI,USA,502,,,4.4,796,,,Deciduous Forest|Mixed Forest,,[h07050002](https://water.usgs.gov/lookup/getwatershed?07050002),Flambeau,0.9,2.7,10.8,,WIXgg;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D05.LIRO.DP1.20002),,https://ww.neonscience.org/field-sites/liro
D08,MAYF,Mayfield Creek NEON,Core Aquatic,Wadeable Stream,TALL,Talladega National Forest,https://www.fs.usda.gov/detail/alabama/about-forest/districts/?cid=fsbdev3_002555,Yes,Researchers should coordinate directly with the US Forest Service for permitting and approval.,Domain 08 Support Facility,32.960365,-87.407688,WGS84,3646888.45,461856.8853,16N,Bibb,AL,USA,77,,,17.2,1379,,,Deciduous Forest|Mixed Forest,,[h03160113](https://water.usgs.gov/lookup/getwatershed?03160113),Lower Black Warrior,14.4,,,,ALKg;1|ALKck;1,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D08.MAYF.DP1.20002),,https://ww.neonscience.org/field-sites/mayf
